speaker,noise_type,snr_label,snr_db,noisy_stoi,noisy_pesq,noisy_sisdr,mmse_stoi,mmse_pesq,mmse_sisdr,wav_stoi,wav_pesq,wav_sisdr
sp15,car,10dB,10,0.8688548433212685,1.3814014196395874,9.717968940734863,0.8539011036864315,1.571333646774292,10.600154876708984,0.8729691953256321,1.3813457489013672,9.975198745727539
sp16,car,10dB,10,0.8525406546798081,1.3943336009979248,8.919357299804688,0.8353556294843996,1.471252679824829,9.486467361450195,0.8535663570847347,1.396009087562561,9.22658634185791
sp17,car,10dB,10,0.8532112089264563,1.2911080121994019,9.564422607421875,0.8413879082425066,1.368028163909912,10.937843322753906,0.8557195612432095,1.28866446018219,9.848566055297852
sp18,car,10dB,10,0.8482337585309224,1.3381752967834473,9.581648826599121,0.83155505428853,1.399903655052185,10.7625093460083,0.8501845919189321,1.3228260278701782,9.917173385620117
sp19,car,10dB,10,0.838167921127997,1.2570979595184326,9.146086692810059,0.827215666565732,1.3548407554626465,10.517274856567383,0.8379194707243176,1.256786823272705,9.43609619140625
sp20,car,10dB,10,0.8771623915743934,1.4827828407287598,9.51054573059082,0.8620439495241752,1.558821201324463,10.30089282989502,0.8766612795594907,1.464599847793579,9.766803741455078
sp21,car,10dB,10,0.8475884865407846,1.7023409605026245,9.352950096130371,0.8373883870305997,2.1937572956085205,12.652673721313477,0.8621876801463535,1.6737747192382812,10.164384841918945
sp22,car,10dB,10,0.8169564601993569,1.3573756217956543,9.44556713104248,0.8149357281341293,1.4549145698547363,10.717917442321777,0.8207267094617353,1.3490418195724487,9.699580192565918
sp23,car,10dB,10,0.8776394047275659,1.5824987888336182,9.260522842407227,0.860030597426694,1.6822130680084229,9.697872161865234,0.8799756380873694,1.552662968635559,9.513306617736816
sp24,car,10dB,10,0.8063032679663362,1.557523488998413,9.582304000854492,0.8010825288275701,1.9836788177490234,12.145577430725098,0.8148324668290065,1.534475326538086,9.95334243774414
sp25,car,10dB,10,0.8461180493983292,1.6422128677368164,9.644576072692871,0.8137294016736668,1.6495248079299927,9.45880126953125,0.8557297912779173,1.6202392578125,9.939661026000977
sp26,car,10dB,10,0.9129564166964547,1.5529141426086426,9.484092712402344,0.8937575745387583,1.6161869764328003,9.864784240722656,0.9143173634186954,1.5341646671295166,9.66834545135498
sp27,car,10dB,10,0.9130518704981027,1.4831786155700684,9.51663875579834,0.8808674829233083,1.4798280000686646,10.120538711547852,0.9168456521713081,1.4689701795578003,9.863160133361816
sp28,car,10dB,10,0.9074885279673475,1.445928692817688,9.660276412963867,0.8768627633401014,1.5508544445037842,10.245450973510742,0.9096411382811409,1.4298691749572754,9.993532180786133
sp29,car,10dB,10,0.907190875756428,1.45517098903656,9.54140853881836,0.8785660044044983,1.584580659866333,10.142965316772461,0.914853606132548,1.4540205001831055,9.956216812133789
sp30,car,10dB,10,0.8620248994776489,1.5450475215911865,9.560402870178223,0.8367643393476988,1.5876665115356445,10.033411026000977,0.8728086167979714,1.5160448551177979,10.05339527130127
sp01,car,15dB,15,0.9285042348082185,1.8311500549316406,14.337416648864746,0.9039332304990155,1.927834391593933,15.131669998168945,0.9283352881128714,1.8022792339324951,14.664610862731934
sp02,car,15dB,15,0.9366708316058954,1.9906420707702637,14.318140983581543,0.9155502446652538,1.88815176486969,14.644977569580078,0.938850769050994,1.8767824172973633,14.581338882446289
sp03,car,15dB,15,0.9492732969859673,1.7441439628601074,14.448995590209961,0.9298146876571595,2.0424914360046387,15.249809265136719,0.9513680259816618,1.6973950862884521,14.678060531616211
sp04,car,15dB,15,0.9387037602125738,1.8737499713897705,14.540295600891113,0.9248429620161949,1.9175868034362793,14.848833084106445,0.9393614320329435,1.8326404094696045,14.622177124023438
sp05,car,15dB,15,0.9300477838625295,1.7684242725372314,14.363789558410645,0.903424478902818,1.8548977375030518,15.168085098266602,0.9308608935538879,1.7392940521240234,14.480110168457031
sp06,car,15dB,15,0.936027101524007,1.7727675437927246,14.238754272460938,0.9310619801583477,2.091243267059326,15.131465911865234,0.9372751004440285,1.7300500869750977,14.576716423034668
sp07,car,15dB,15,0.9477471056236493,1.7396600246429443,14.51535415649414,0.9312459421958884,1.908855676651001,15.430564880371094,0.9489751394193309,1.7018706798553467,14.769914627075195
sp08,car,15dB,15,0.9362541320106881,1.7939380407333374,14.39720344543457,0.9231701097953918,1.955404281616211,15.052437782287598,0.9399778854007114,1.7802743911743164,15.080499649047852
sp09,car,15dB,15,0.8946196913102392,1.5797603130340576,14.617044448852539,0.8738038162807439,1.856067419052124,14.517757415771484,0.9069514702630215,1.5771050453186035,15.084644317626953
sp10,car,15dB,15,0.9333648718928813,1.6857867240905762,14.359926223754883,0.9115592036908259,1.9267950057983398,13.916618347167969,0.9354427915985838,1.6757570505142212,14.806703567504883
sp11,car,15dB,15,0.8997852108315866,1.7031831741333008,14.436206817626953,0.8849390356688507,1.9176037311553955,15.613523483276367,0.903504169729018,1.6944997310638428,14.947623252868652
sp12,car,15dB,15,0.9478224207137708,1.689589500427246,14.704276084899902,0.9398967011483451,1.8844099044799805,15.3587646484375,0.9488002405404486,1.6677910089492798,15.032634735107422
sp13,car,15dB,15,0.9244107014735474,1.9823212623596191,13.965481758117676,0.9166607502657252,2.098083734512329,14.737987518310547,0.9254807668151154,1.9270228147506714,14.181751251220703
sp14,car,15dB,15,0.8604529080092346,1.5502455234527588,14.632061004638672,0.8207522243234722,1.6898612976074219,14.841459274291992,0.8664986468082075,1.542750597000122,15.277886390686035
sp15,car,15dB,15,0.9108389909562025,1.729485273361206,14.667588233947754,0.8867351105154176,1.958509087562561,14.729524612426758,0.9112328504840634,1.7135918140411377,14.970183372497559
sp16,car,15dB,15,0.9092705411909181,1.6823861598968506,13.918426513671875,0.907969343984872,1.8343768119812012,14.963017463684082,0.9090419177232815,1.6616244316101074,14.134946823120117
sp17,car,15dB,15,0.8966749282535038,1.6124213933944702,14.53554630279541,0.8878277857967792,1.701894998550415,14.932258605957031,0.8964963837918095,1.5845458507537842,14.722981452941895
sp18,car,15dB,15,0.9146768181770952,1.7335293292999268,14.601372718811035,0.9074317821695671,1.7586719989776611,15.16012191772461,0.9149370697945781,1.6855425834655762,14.769451141357422
sp19,car,15dB,15,0.8880973054802492,1.4786350727081299,14.183626174926758,0.8692358221888923,1.5579757690429688,14.893596649169922,0.8879816394245783,1.4827704429626465,14.752511024475098
sp20,car,15dB,15,0.921641960830526,1.7546496391296387,14.538697242736816,0.913087519547393,1.828256607055664,14.636940956115723,0.9218174280335096,1.707179069519043,15.042470932006836
sp21,car,15dB,15,0.939834266682805,2.261528491973877,14.367642402648926,0.9257250798861509,2.7523062229156494,16.564014434814453,0.9396775863668805,2.1859049797058105,15.082859992980957
sp22,car,15dB,15,0.9025624250200319,1.7373201847076416,14.481376647949219,0.8895030794569799,1.8211071491241455,14.887958526611328,0.9047999524568047,1.691826343536377,14.740798950195312
sp23,car,15dB,15,0.947485643896601,1.9425567388534546,14.332496643066406,0.933152373557632,2.1370198726654053,14.371206283569336,0.9487760812550458,1.8758654594421387,14.600866317749023
sp24,car,15dB,15,0.9007505957931916,1.9812092781066895,14.612217903137207,0.8882763045262525,2.411658525466919,15.540948867797852,0.8968441667481443,1.9111828804016113,14.959883689880371
sp25,car,15dB,15,0.9259467707344124,1.9823403358459473,14.64755630493164,0.8786203341585732,1.906351923942566,13.152728080749512,0.9309709719660266,1.9369786977767944,14.958109855651855
sp26,car,15dB,15,0.9636474960955198,2.0206542015075684,14.506183624267578,0.9482012652296835,2.0484938621520996,14.046941757202148,0.963277193210463,1.9239251613616943,14.726367950439453
sp27,car,15dB,15,0.9576309775286354,1.9788458347320557,14.531900405883789,0.9376968646195979,1.9982128143310547,14.375935554504395,0.9576693984254627,1.9148838520050049,14.76976490020752
sp28,car,15dB,15,0.9636725483289279,1.8939599990844727,14.649724960327148,0.9395565479674998,2.0407793521881104,14.933673858642578,0.9639645781072861,1.8513317108154297,14.844234466552734
sp29,car,15dB,15,0.9583636227152186,1.8951334953308105,14.493301391601562,0.9446732626239057,2.01101016998291,14.72146987915039,0.959562226953779,1.8353172540664673,14.751384735107422
sp30,car,15dB,15,0.9493223724190363,2.1234612464904785,14.630514144897461,0.9313920316244805,2.0277202129364014,14.6199951171875,0.9506137556515066,2.0108184814453125,14.891860961914062
sp01,car,5dB,5,0.7083233476398652,1.260582447052002,4.323303699493408,0.6979281780984332,1.2245867252349854,5.386462688446045,0.7140610268792572,1.2587214708328247,4.599478244781494
sp02,car,5dB,5,0.7762085447323589,1.3414897918701172,4.341708660125732,0.7529553450064427,1.2646729946136475,5.391226768493652,0.7836651518009305,1.3320271968841553,4.554203510284424
sp03,car,5dB,5,0.7616191053421707,1.195222020149231,4.586897850036621,0.7168291332028328,1.2973413467407227,5.402491092681885,0.7644249545859024,1.192939043045044,4.712876796722412
sp04,car,5dB,5,0.8097172982914564,1.308938980102539,4.642847061157227,0.7654504108380363,1.3247401714324951,5.367443084716797,0.8120720127225546,1.2976809740066528,4.690576076507568
